split,scenario,phase,method,horizon,n,nwis,wis_kw,mae_kw,coverage50,coverage80,coverage90,width90_kw,events
calibration,irradiance_only,recovery,recovery,4,86,0.12606823647168353,34.12667161288473,105.6754125968992,0.5232558139534884,0.7325581395348837,0.8255813953488372,138.87978001324416,6
calibration,irradiance_only,recovery,rolling,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_only,recovery,rolling,2,86,0.09559619842401182,25.87789091338,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_only,recovery,rolling,3,86,0.1151040360545167,31.158662559957673,94.28633264710481,0.5348837209302325,0.7674418604651163,0.9767441860465116,154.79139925507087,6
calibration,irradiance_only,recovery,rolling,4,86,0.12624685429727872,34.17502345827335,105.6754125968992,0.5232558139534884,0.7325581395348837,0.8372093023255814,140.65331703833937,6
calibration,joint,background,context,1,493,0.08855666549110089,23.97228934844101,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,joint,background,context,2,499,0.09444801354622333,25.567077266962656,62.70427590530975,0.5270541082164328,0.8176352705410822,0.9539078156312625,147.8471710317335,0
calibration,joint,background,context,3,505,0.11193150648164045,30.29985880458007,90.55094844956314,0.5326732673267327,0.7920792079207921,0.9386138613861386,152.33250813843756,0
calibration,joint,background,context,4,511,0.11989289868419363,32.45500767381122,103.40070841487281,0.5166340508806262,0.7651663405088063,0.9060665362035225,144.403165195815,0
calibration,joint,background,persistence,1,493,0.06513191968863008,17.63121065971216,30.96695848546315,0.2150101419878296,0.665314401622718,0.8600405679513184,96.22644983096687,0
calibration,joint,background,persistence,2,499,0.10549432062006048,28.557312591850366,51.66570297261189,0.23446893787575152,0.6432865731462926,0.8196392785571143,149.67367434869738,0
calibration,joint,background,persistence,3,505,0.13631058210095642,36.8992745747289,68.08352442244225,0.25544554455445545,0.6574257425742575,0.7960396039603961,184.3975572937294,0
calibration,joint,background,persistence,4,511,0.15705924954534295,42.51593885192433,80.46060991519896,0.2974559686888454,0.6594911937377691,0.8003913894324853,206.11645273972601,0
calibration,joint,background,quantile_raw,1,493,0.0885528230680762,23.971249204528227,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,joint,background,quantile_raw,2,499,0.09451570364279953,25.58540097610583,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,joint,background,quantile_raw,3,505,0.11201217615001959,30.321696083810302,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,joint,background,quantile_raw,4,511,0.12256739280235339,33.17899323159706,103.40070841487281,0.5166340508806262,0.684931506849315,0.8101761252446184,139.38842588313705,0
calibration,joint,background,recovery,1,493,0.08855687949821839,23.972347280167718,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,joint,background,recovery,2,499,0.0945349872902379,25.590621059467402,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,joint,background,recovery,3,505,0.11201309952054407,30.32194604021128,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,joint,background,recovery,4,511,0.12199358408694065,33.02366321233483,103.40070841487281,0.5166340508806262,0.7084148727984344,0.8414872798434442,141.63995850605338,0
calibration,joint,background,rolling,1,493,0.08855687949821839,23.972347280167718,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
