native_date,bright_hours,ac_max_w,ac_median_w,dc_max_w,dc_median_w,dc_v_median,poa_median,module_sentinel_fraction,all_observed_bright_ac_below_10w
2016-08-31,10,839.94171,611.9704466666667,910.0592166666667,664.7571366666667,246.0681375,776.274545,0.0,False
2016-09-01,9,800.7638083333334,633.2891816666667,867.68929,686.4251316666666,242.17779000000002,815.2164316666666,0.0,False
2016-09-02,8,724.7637316666667,372.22074525,788.498575,409.89174875,246.21059166666663,460.05722425,0.0,False
2016-09-03,8,783.7558666666666,407.22729000000004,850.7530616666667,446.9740675,242.85830916666666,545.1532616666667,0.0,False
2016-09-04,10,711.2894483333333,453.7834249166666,772.659125,499.52854333333335,246.05584583333336,585.93492,0.0,False
2016-09-05,9,824.317265,674.35929,894.9389,731.2004683333333,240.352445,876.4229666666666,0.0,False
2016-09-06,7,642.4564883333334,493.16397666666666,698.7662266666666,537.76754,246.31403333333336,636.4545666666667,0.0047619047619047615,False
2016-09-07,10,676.98714,370.2634325,733.0009683333334,408.31976166666664,250.00842916666664,464.3989958333333,0.0,False
2016-09-08,10,823.5255333333333,639.225309,894.605555,695.7986684916666,247.76892416666666,843.5960816666666,0.0,False
2016-09-09,10,831.8779,638.7637433333333,902.4646733333334,694.42659,250.55550499999998,799.5992233333334,0.0,False
2016-09-10,10,835.1914466666666,661.46692,905.7509033333333,718.5870191666667,247.52929916666665,840.1536666666666,0.0,False
2016-09-11,6,821.0181749999999,744.7935033333333,892.7329733333333,809.9520208333333,241.38244083333333,970.1784883333333,0.0,False
2016-09-12,10,811.2720333333333,441.86261666666667,880.4880633333333,484.1690991666667,252.18618500000002,557.3995533333333,0.0,False
2016-09-13,3,296.23158666666666,209.9957533333333,327.49406,236.07346833333335,261.69561,260.91175899999996,0.0,False
2016-09-14,9,846.08438,679.9788649999999,918.8038833333334,736.3369583333333,246.96669500000002,849.596255,0.0,False
2016-09-15,9,702.4289200000001,498.9116016666667,761.6869666666666,546.3650333333334,251.40501,635.3145000000001,0.0,False
2016-09-16,10,834.1869166666667,661.1058566666666,904.74445,717.731455,251.46862083333332,825.535935,0.0,False
2016-09-17,10,800.0438333333333,540.1042853333333,868.27089,590.0060058333333,246.79399833333335,692.159915,0.0,False
2016-09-18,10,827.7297483333333,634.3925058333334,899.777195,691.6662708333333,244.36551000000003,812.6049600000001,0.0,False
2016-09-19,9,820.5894266666667,674.0285416666667,891.7529916666666,733.2780116666667,243.41835666666665,879.0860416666667,0.0,False
2016-09-20,7,674.8117166666667,367.44384166666663,735.2107,407.22647166666667,247.6597416666667,452.34716166666664,0.0,False
2016-09-21,10,381.02549833333336,250.69903883333333,418.9864216666667,281.6712655,249.9682325,329.5859733333333,0.0,False
2016-09-22,9,683.86789,520.8672760000001,742.8545033333334,570.204225,252.76247666666669,650.2229083333333,0.0,False
2016-09-23,10,845.669065,474.56317083333334,918.9460066666667,520.5017666666668,248.70836166666666,610.5817483333334,0.0,False
2016-09-24,9,852.65657,500.39357850000005,925.4454416666666,551.0458233333334,252.01175333333333,654.0981383333333,0.0,False
2016-09-25,10,855.8091483333334,676.7633333333333,926.0318316666667,733.6697933333334,253.5212675,841.9928916666667,0.0,False
2016-09-26,10,839.780745,659.9254658333334,911.0646816666666,716.96771,249.16108,832.8382408333333,0.0,False
2016-09-27,10,829.4093583333332,653.4965824999999,900.2781016666667,710.4530975,245.29293833333332,832.959875,0.0,False
2016-09-28,10,829.3279633333333,642.0310925,900.2053833333333,698.5163608333334,247.42341666666667,814.5052566666666,0.0,False
2016-09-29,10,822.850495,621.3211408333333,893.3423483333333,675.9670516666667,248.20574916666664,787.623325,0.0,False
2016-09-30,5,364.974835,308.17799833333333,403.49258000000003,342.0412216666667,255.972955,381.04142666666667,0.0,False
2016-10-01,10,833.0190166666667,482.29452849999996,904.2224716666666,527.5093146666667,245.99681333333334,614.29115,0.0,False
2016-10-02,9,780.1332966666666,660.0076833333334,846.628675,719.8626,246.74025833333332,867.1829683333333,0.0,False
2016-10-03,10,855.7751499999999,556.06722,929.8218133333334,606.63058,249.70436666666666,712.3068058333333,0.0,False
2016-10-04,10,878.165235,697.07357,949.6821233333334,754.2813533333333,258.46605166666666,854.7817975,0.0,False
2016-10-05,8,724.0952066666666,523.5659483333334,782.8834449999999,569.2031766666666,254.90964416666668,662.75938,0.0,False
2016-10-06,8,626.8954150000001,323.10280116666667,678.3962933333333,356.474045,262.2080575,390.74869749999993,0.0,False
2016-10-07,9,878.55122,709.9711516666666,950.8988916666666,767.37492,250.31971333333334,902.4414016666667,0.0,False
2016-10-08,9,842.3227333333333,713.7905433333333,913.6037066666667,772.868455,249.94425166666667,912.3714383333333,0.0,False
2016-10-09,8,740.1590416666667,520.4290183333333,802.981995,565.8646225,249.17678083333334,653.35312,0.0,False
2016-10-10,9,857.804305,584.534985,931.200815,638.1221033333334,248.09814999999998,714.6784333333333,0.0,False
2016-10-11,9,792.9227383333333,490.2799166666666,860.8789566666667,538.1701516666667,249.32323666666667,614.62784,0.0,False
2016-10-13,8,824.2782083333333,632.655378975,894.5806883333333,688.0668490916667,248.96863583333334,804.6624014166666,0.0,False
2016-10-14,8,621.9918033333332,340.1720866666667,677.0898500000001,378.07235249999997,251.76033166666667,419.6011441666667,0.0,False
2016-10-15,9,837.0344483333333,634.63234,909.4873433333333,693.0026033333332,245.17808333333332,799.8745633333333,0.0,False
2016-10-16,9,823.8071216666667,677.70123,896.153095,735.91693,241.94939833333333,879.555165,0.0,False
2016-10-17,9,831.2235866666667,695.3604383333333,902.0981400000001,752.9799916666667,253.341755,878.2431216666666,0.0,False
2016-10-18,9,693.6862416666667,519.0984133333334,749.6810266666668,561.9524833333332,254.61003,647.3768533333333,0.0,False
2016-10-19,9,887.007185,715.2173733333333,960.9277316666667,773.0871016666666,256.25122666666664,894.0242966666666,0.0,False
2016-10-20,9,860.2358716666666,731.86537,929.6799,789.6245066666667,253.42297,908.8723666666666,0.0,False
2016-10-21,8,815.9204649999999,624.6537074999999,885.4057633333334,679.6106950000001,248.57206250000002,775.2239591666666,0.0,False
2016-10-22,9,824.2271666666667,682.5795416666666,894.9026316666666,740.7020866666667,246.2604,881.008185,0.0,False
2016-10-23,9,817.0668266666667,674.5331616666666,885.1945483333333,732.7983966666667,251.67519666666666,831.5522,0.0,False
2016-10-24,9,782.01629,601.2386750000001,849.6452283333333,654.8833950000001,245.24109666666666,757.7863566666667,0.0,False
2016-10-25,5,477.78346866666664,330.5097866666667,522.7378363333333,367.0255433333333,253.330965,421.21381166666663,0.0,False
2016-10-26,9,809.5472233333334,671.0257916666667,877.9860033333333,727.4121833333334,249.3492916666667,852.802705,0.0,False
2016-10-27,9,818.574105,673.2059416666667,888.554075,729.8983316666666,245.41774166666667,869.353,0.0,False
2016-10-28,7,483.52631,337.9840433333333,529.6424983333334,374.2466,250.38591166666666,419.9687666666667,0.0,False
2016-10-29,8,717.7612833333334,446.3392784166666,779.8305583333333,488.65450391666667,249.93612916666666,571.0215055833334,0.0,False
2016-10-30,7,691.1528149999999,306.52599,748.9452033333333,340.463975,251.06257333333332,385.0589483333333,0.0,False
2016-10-31,9,804.5821733333333,679.9832016666667,873.33947,738.3308233333333,248.41810333333333,863.4003716666666,0.0,False
2016-11-01,9,807.9009733333334,490.0425616666667,873.6161649999999,532.1087983333333,250.98653166666665,610.729975,0.0,False
2016-11-02,8,815.6054166666667,612.9163158333333,881.0425983333333,665.5803116666666,253.53079833333334,729.7722083333333,0.0,False
2016-11-03,9,829.3530549999999,683.5811833333333,898.0561799999999,739.4594183333334,249.40265166666669,863.2415583333333,0.0,False
2016-11-04,9,803.795225,672.8340383333333,870.1240166666666,731.1526799999999,246.89522166666666,829.685225,0.0,False
2016-11-05,6,447.748585,336.1246643333333,489.50724499999995,369.76885874999994,253.75709,417.928159,0.0,False
2016-11-06,9,731.1227833333334,594.1679525,792.965265,646.4847045,249.09132499999998,731.334565,0.0,False
2016-11-07,9,811.732,664.6297683333333,878.484525,718.8501,250.89861833333333,823.8747216666667,0.0,False
2016-11-08,9,817.8549116666667,657.8540049999999,884.9526466666666,711.427645,251.05540333333332,824.2273066666668,0.0,False
2016-11-09,9,810.081965,667.74735,877.7399683333333,722.787075,250.20009,839.24389,0.0,False
2016-11-10,9,814.773985,658.4293749999999,883.30938,712.9604733333333,251.80211666666668,825.0969783333334,0.0,False
