method,origins,mean_score_updates_all_horizons,max_score_updates_all_horizons,p95_score_updates_all_horizons,fraction_origins_with_updates,site,case_id,case_group
physical_availability,8012,1.9755366949575637,20,4.0,0.4639291063404893,colorado,schedule_seed_4,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.4639291063404893,colorado,schedule_seed_4,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.4639291063404893,colorado,schedule_seed_4,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46417873190214676,colorado,schedule_seed_5,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46417873190214676,colorado,schedule_seed_5,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46417873190214676,colorado,schedule_seed_5,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46417873190214676,colorado,schedule_seed_5,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_input_age,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_input_age,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_input_age,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_input_age,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_block_augmentation,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_block_augmentation,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_block_augmentation,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,no_block_augmentation,sensitivity
physical,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,privileged_labels,diagnostic
physical_availability,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,privileged_labels,diagnostic
physical_recovery,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,privileged_labels,diagnostic
recency,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,privileged_labels,diagnostic
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,cross_site_weights,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,cross_site_weights,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,cross_site_weights,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,cross_site_weights,sensitivity
physical,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,stale_transport,sensitivity
physical_availability,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,stale_transport,sensitivity
physical_recovery,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,stale_transport,sensitivity
recency,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,stale_transport,sensitivity
