phase,event_id,difference,contrast,site,scenario
outage,39,-1.8575929595510053e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,40,-0.00025212222988279045,aci_bounded_minus_rolling,nist,joint_gradual
outage,42,-1.0499667805142244e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,43,-5.932485555329542e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,44,1.0235636650019768e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,45,6.454597199835965e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,46,-0.0007822101411563479,aci_bounded_minus_rolling,nist,joint_gradual
outage,47,8.546207022548224e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,48,9.653101137666736e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,49,4.136375769009233e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,50,-2.3138136769480528e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,51,4.9127603782785324e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,26,2.8000420313502335e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,27,-0.00018013152938155973,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,28,3.5570020460519665e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,29,1.8728461685133094e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,31,-3.045255283082625e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,32,0.00028907051242954795,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,34,6.767001411036811e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,35,-0.00013264431976445858,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,36,0.00043696525099188205,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,37,-0.00011583284247557805,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,38,8.151712902464137e-06,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,39,-9.40674621417048e-06,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,40,6.648254626948705e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,41,-0.00018911364508482353,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,42,-2.347183802966561e-05,aci_bounded_minus_rolling,nist,joint_gradual
recovery_0_6,43,0.00011069546851966497,aci_bounded_minus_rolling,nist,joint_gradual
