site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,pv_only,primary,geometric_persistence,3,297,0.13705239806922379,0.27003997926129064,0.42424242424242425,0.6902356902356902,0.7946127946127947,0.5786446981645467,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,geometric_persistence,4,297,0.11669346380720041,0.24613287708503992,0.5488215488215489,0.7912457912457912,0.8922558922558923,0.6586027438353587,44,46,recorded_ac,partial_restoration
reserve10,pv_only,primary,mask50,1,301,0.05062018075160488,0.08741375190395467,0.5548172757475083,0.867109634551495,0.9435215946843853,0.45143057879501935,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,mask50,2,298,0.05717345002123786,0.10221151021647676,0.5671140939597316,0.8456375838926175,0.9328859060402684,0.4594674068151989,46,54,recorded_ac,partial_restoration
reserve10,pv_only,primary,mask50,3,297,0.06073058524227487,0.11484145954726092,0.5084175084175084,0.835016835016835,0.9427609427609428,0.46586010699988906,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,mask50,4,297,0.06263703895599725,0.1211143702719192,0.5117845117845118,0.8114478114478114,0.9326599326599326,0.45540777625734813,44,46,recorded_ac,partial_restoration
reserve10,pv_only,primary,mi_recency,1,301,0.049496275720652586,0.07584842423989288,0.5149501661129569,0.7873754152823921,0.8870431893687708,0.3336195634070939,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,mi_recency,2,298,0.06177204940028659,0.1015137912062045,0.47315436241610737,0.7651006711409396,0.889261744966443,0.4140752990788124,46,54,recorded_ac,partial_restoration
reserve10,pv_only,primary,mi_recency,3,297,0.06611370837581669,0.10778204959009388,0.494949494949495,0.7811447811447811,0.8754208754208754,0.443864265542982,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,mi_recency,4,297,0.06882218440480249,0.11096614697426768,0.5016835016835017,0.7777777777777778,0.898989898989899,0.4697569874352344,44,46,recorded_ac,partial_restoration
reserve10,pv_only,primary,multiple_imputation,1,301,0.049712555260955846,0.07584842423989288,0.6378737541528239,0.7873754152823921,0.8438538205980066,0.2831291487670098,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,multiple_imputation,2,298,0.0628339566598779,0.1015137912062045,0.5436241610738255,0.7483221476510067,0.8053691275167785,0.32483262385800626,46,54,recorded_ac,partial_restoration
reserve10,pv_only,primary,multiple_imputation,3,297,0.06742409793452732,0.10778204959009388,0.5218855218855218,0.734006734006734,0.8080808080808081,0.3372196059483634,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,multiple_imputation,4,297,0.07024488181206545,0.11096614697426768,0.5286195286195287,0.7205387205387206,0.8013468013468014,0.34677429341172,44,46,recorded_ac,partial_restoration
reserve10,pv_only,primary,persistence,1,301,0.2042347746124384,0.316572519475261,0.3122923588039867,0.43853820598006643,0.5681063122923588,0.4230816328340055,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,persistence,2,298,0.16186228292889207,0.30176357555878475,0.4228187919463087,0.6006711409395973,0.7046979865771812,0.5451412820519734,46,54,recorded_ac,partial_restoration
reserve10,pv_only,primary,persistence,3,297,0.13256478733249263,0.2730749577516233,0.5151515151515151,0.7306397306397306,0.8282828282828283,0.6409138261522717,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,persistence,4,297,0.11601816222979333,0.23817871233164983,0.6397306397306397,0.8383838383838383,0.9158249158249159,0.7047049393232923,44,46,recorded_ac,partial_restoration
